model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
cnn,acc,75906,0.0017425448459107429,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/cnn_acc/best.pt,13,128,64,random,0.9945121951219512,0.9706069193223661,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.0333112120264914,7650,1639,1640,0.9932885906040269,0.9644920186313997,0.8837209302325582,0.987012987012987,0.9325153374233128,0.057040725810233964
cnn,gyro,75906,0.0017352290524286218,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/cnn_gyro/best.pt,13,128,64,random,0.9945121951219512,0.9706069193223661,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.04105749192602205,7650,1639,1640,0.9969493593654668,0.9830704554140457,0.9615384615384616,0.974025974025974,0.967741935483871,0.048079607529250896
cnn,acc_gyro,76866,0.001835701878007967,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/cnn_acc_gyro/best.pt,13,128,64,random,0.998780487804878,0.9933505785807539,0.975,1.0,0.9873417721518988,0.007558226172539701,7650,1639,1640,1.0,1.0,1.0,1.0,1.0,0.005265763294178472
gru,acc,38466,0.0025005636052810587,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/gru_acc/best.pt,13,128,64,random,0.9939024390243902,0.96593297936868,0.9473684210526315,0.9230769230769231,0.935064935064935,0.11170563526542449,7650,1639,1640,0.9932885906040269,0.9640739921528305,0.8928571428571429,0.974025974025974,0.9316770186335404,0.0644520116376715
gru,gyro,38466,0.002500389855413232,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/gru_gyro/best.pt,13,128,64,random,0.9975609756097561,0.9865392823139302,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.08142265013941541,7650,1639,1640,0.9981696156192801,0.9898422732484273,0.9743589743589743,0.987012987012987,0.9806451612903225,0.05351698965353004
gru,acc_gyro,39042,0.0024689161000424065,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/gru_acc_gyro/best.pt,13,128,64,random,0.9945121951219512,0.9706069193223661,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.02976109418995315,7650,1639,1640,0.9969493593654668,0.9832754078086192,0.95,0.987012987012987,0.9681528662420382,0.02280437882110031
tcn,acc,220610,0.005758050647273194,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/tcn_acc/best.pt,13,128,64,random,0.9963414634146341,0.9795597876212079,0.9736842105263158,0.9487179487179487,0.961038961038961,0.040855239531615885,7650,1639,1640,0.9975594874923734,0.98637278214743,0.974025974025974,0.974025974025974,0.974025974025974,0.03879496202900178
tcn,gyro,220610,0.005755052334279753,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/tcn_gyro/best.pt,13,128,64,random,0.998780487804878,0.993186595873736,1.0,0.9743589743589743,0.987012987012987,0.06374021143533244,7650,1639,1640,0.9987797437461867,0.9931863910737151,0.987012987012987,0.987012987012987,0.987012987012987,0.023580378162034784
tcn,acc_gyro,221378,0.0058317706498201005,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/tcn_acc_gyro/best.pt,13,128,64,random,0.9975609756097561,0.986701157161508,0.9625,0.9871794871794872,0.9746835443037974,0.009755955097583554,7650,1639,1640,0.9987797437461867,0.9932694360945482,0.9746835443037974,1.0,0.9871794871794872,0.005205748008596503
transformer,acc,83842,0.0037443879773491062,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/transformer_acc/best.pt,13,128,64,random,0.9939024390243902,0.96593297936868,0.9473684210526315,0.9230769230769231,0.935064935064935,0.2055537164994947,7650,1639,1640,0.99633923123856,0.9798083082836446,0.9493670886075949,0.974025974025974,0.9615384615384616,0.08773713437652828
transformer,gyro,83842,0.003743516390386503,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/transformer_gyro/best.pt,13,128,64,random,0.9853658536585366,0.9192356938835813,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3867628812034637,7650,1639,1640,0.9932885906040269,0.9627550019109004,0.9230769230769231,0.935064935064935,0.9290322580645162,0.15538960250459335
transformer,acc_gyro,84034,0.003901736708940007,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/transformer_acc_gyro/best.pt,13,128,64,random,0.9981707317073171,0.9898425806451613,0.987012987012987,0.9743589743589743,0.9806451612903225,0.022131201661214597,7650,1639,1640,0.9981696156192801,0.9899652446851716,0.9625,1.0,0.9808917197452229,0.011406947830788532
mamba3,acc,239378,0.010962576743622776,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/mamba3_acc/best.pt,13,128,64,random,0.9939024390243902,0.9663482057848255,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.15890420446308648,7650,1639,1640,0.9957291031116534,0.9762986375796638,0.9487179487179487,0.961038961038961,0.9548387096774194,0.11390866212833212
mamba3,gyro,239378,0.01088704782887362,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/mamba3_gyro/best.pt,13,128,64,random,0.9951219512195122,0.9727463834949439,0.9605263157894737,0.9358974358974359,0.948051948051948,0.1914582715372068,7650,1639,1640,0.9945088468578401,0.9691482352941176,0.9473684210526315,0.935064935064935,0.9411764705882353,0.08388687898831776
mamba3,acc_gyro,239762,0.0109879099909449,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed13/mamba3_acc_gyro/best.pt,13,128,64,random,0.9945121951219512,0.9706069193223661,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.030114956777656406,7650,1639,1640,0.9969493593654668,0.9832754078086192,0.95,0.987012987012987,0.9681528662420382,0.05644357268305869
cnn,acc,75906,0.001964308903552592,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/cnn_acc/best.pt,42,128,64,random,0.9902439024390244,0.9486521181001284,0.8604651162790697,0.9487179487179487,0.9024390243902439,0.07035458300535272,7650,1639,1640,0.9938987187309335,0.9675311811597648,0.8941176470588236,0.987012987012987,0.9382716049382716,0.03922802163941457
cnn,gyro,75906,0.0019636921933852136,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/cnn_gyro/best.pt,42,128,64,random,0.9945121951219512,0.9706069193223661,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.05048694655571769,7650,1639,1640,0.9951189749847468,0.9727455642948601,0.948051948051948,0.948051948051948,0.948051948051948,0.06045667675753932
cnn,acc_gyro,76866,0.0019593389151850715,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/cnn_acc_gyro/best.pt,42,128,64,random,0.9957317073170732,0.976865985946288,0.9382716049382716,0.9743589743589743,0.9559748427672956,0.046149594289046234,7650,1639,1640,0.9975594874923734,0.98637278214743,0.974025974025974,0.974025974025974,0.974025974025974,0.05058271147406196
gru,acc,38466,0.0024999735978781246,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/gru_acc/best.pt,42,128,64,random,0.9957317073170732,0.9762993548387097,0.961038961038961,0.9487179487179487,0.9548387096774194,0.10895162492354468,7650,1639,1640,0.9920683343502136,0.9537062988721519,0.9571428571428572,0.8701298701298701,0.9115646258503401,0.15156079400523978
gru,gyro,38466,0.002499926704331301,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/gru_gyro/best.pt,42,128,64,random,0.9914634146341463,0.9528874880987557,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.23364082538954367,7650,1639,1640,0.9932885906040269,0.9627550019109004,0.9230769230769231,0.935064935064935,0.9290322580645162,0.1214578952310724
gru,acc_gyro,39042,0.0024683245283085853,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/gru_acc_gyro/best.pt,42,128,64,random,0.9951219512195122,0.9734023143230159,0.9375,0.9615384615384616,0.9493670886075949,0.0926141368450949,7650,1639,1640,0.99633923123856,0.9790409207161126,0.9863013698630136,0.935064935064935,0.96,0.270242413013828
tcn,acc,220610,0.005754302801506128,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/tcn_acc/best.pt,42,128,64,random,0.9945121951219512,0.9702562676452274,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.07430004997224343,7650,1639,1640,0.9993898718730934,0.9966140910828092,0.9871794871794872,1.0,0.9935483870967742,0.008133553654919171
tcn,gyro,220610,0.0057562604706618,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/tcn_gyro/best.pt,42,128,64,random,0.9963414634146341,0.980051735742262,0.95,0.9743589743589743,0.9620253164556962,0.02240458352139174,7650,1639,1640,0.99633923123856,0.9798083082836446,0.9493670886075949,0.974025974025974,0.9615384615384616,0.05023482771018717
tcn,acc_gyro,221378,0.005824408144690096,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/tcn_acc_gyro/best.pt,42,128,64,random,0.9957317073170732,0.976865985946288,0.9382716049382716,0.9743589743589743,0.9559748427672956,0.04885152230243676,7650,1639,1640,0.9969493593654668,0.9832754078086192,0.95,0.987012987012987,0.9681528662420382,0.024736233805650033
transformer,acc,83842,0.003750309369934257,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/transformer_acc/best.pt,42,128,64,random,0.9963414634146341,0.9795597876212079,0.9736842105263158,0.9487179487179487,0.961038961038961,0.12789256018870396,7650,1639,1640,0.9981696156192801,0.9895865321690807,1.0,0.961038961038961,0.9801324503311258,0.10181706920584357
transformer,gyro,83842,0.0037369065466918983,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/transformer_gyro/best.pt,42,128,64,random,0.9932926829268293,0.960829528108722,0.9855072463768116,0.8717948717948718,0.9251700680272109,0.40250419723652603,7650,1639,1640,0.9957291031116534,0.9750726224696202,1.0,0.9090909090909091,0.9523809523809523,0.3745521406902772
transformer,acc_gyro,84034,0.003901577038050164,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/transformer_acc_gyro/best.pt,42,128,64,random,0.9969512195121951,0.9830709677419355,0.974025974025974,0.9615384615384616,0.967741935483871,0.09295646628654539,7650,1639,1640,0.9951189749847468,0.9720545609548167,0.9726027397260274,0.922077922077922,0.9466666666666667,0.1317522628999942
mamba3,acc,239378,0.010977245765388943,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/mamba3_acc/best.pt,42,128,64,random,0.9945121951219512,0.9687605163404087,0.9726027397260274,0.9102564102564102,0.9403973509933775,0.17666463364460847,7650,1639,1640,0.9932885906040269,0.9608284067379746,0.9714285714285714,0.8831168831168831,0.9251700680272109,0.3032680442141934
mamba3,gyro,239378,0.010941125947283581,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/mamba3_gyro/best.pt,42,128,64,random,0.9951219512195122,0.9730785646278604,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.15974584427902122,7650,1639,1640,0.9957291031116534,0.9750726224696202,1.0,0.9090909090909091,0.9523809523809523,0.1802645524670532
mamba3,acc_gyro,239762,0.010941022665065248,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/mamba3_acc_gyro/best.pt,42,128,64,random,0.9969512195121951,0.9828606423914839,0.9866666666666667,0.9487179487179487,0.9673202614379085,0.09343863945701386,7650,1639,1640,0.9957291031116534,0.976004183006536,0.9605263157894737,0.948051948051948,0.954248366013072,0.10377424720065614
cnn,acc,75906,0.0019592198441387154,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/cnn_acc/best.pt,73,128,64,random,0.9908536585365854,0.9492129032258064,0.9090909090909091,0.8974358974358975,0.9032258064516129,0.12350347413704163,7650,1639,1640,0.9932885906040269,0.9632058971789623,0.9125,0.948051948051948,0.9299363057324841,0.08160724715898501
cnn,gyro,75906,0.001963474860531278,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/cnn_gyro/best.pt,73,128,64,random,0.9957317073170732,0.9771387150285069,0.927710843373494,0.9871794871794872,0.9565217391304348,0.04706492654229628,7650,1639,1640,0.9975594874923734,0.986700746510873,0.9506172839506173,1.0,0.9746835443037974,0.01618488890739968
cnn,acc_gyro,76866,0.0019580134176067077,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/cnn_acc_gyro/best.pt,73,128,64,random,0.999390243902439,0.9966141935483871,1.0,0.9871794871794872,0.9935483870967742,0.04157178601840647,7650,1639,1640,0.9993898718730934,0.9966140910828092,0.9871794871794872,1.0,0.9935483870967742,0.009865349968935093
gru,acc,38466,0.0024998546723509207,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/gru_acc/best.pt,73,128,64,random,0.9908536585365854,0.9510115322039434,0.8795180722891566,0.9358974358974359,0.906832298136646,0.1091748503650107,7650,1639,1640,0.9920683343502136,0.9575419907260724,0.8809523809523809,0.961038961038961,0.9192546583850931,0.056412955410801255
gru,gyro,38466,0.0025002771872095764,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/gru_gyro/best.pt,73,128,64,random,0.9951219512195122,0.9730785646278604,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.12225425798025709,7650,1639,1640,0.9975594874923734,0.98637278214743,0.974025974025974,0.974025974025974,0.974025974025974,0.09020566501978006
gru,acc_gyro,39042,0.0024681539071025327,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/gru_acc_gyro/best.pt,73,128,64,random,0.9975609756097561,0.986373191747472,0.9868421052631579,0.9615384615384616,0.974025974025974,0.09919529992167088,7650,1639,1640,0.9981696156192801,0.9898422732484273,0.9743589743589743,0.987012987012987,0.9806451612903225,0.057610966218464975
tcn,acc,220610,0.0057552918951842,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/tcn_acc/best.pt,73,128,64,random,0.9981707317073171,0.9898425806451613,0.987012987012987,0.9743589743589743,0.9806451612903225,0.07494760083216356,7650,1639,1640,0.9987797437461867,0.9931863910737151,0.987012987012987,0.987012987012987,0.987012987012987,0.05534125149450046
